TIPO	NOME	DIRETORIA	DEPENDENCIA ADMINISTRATIVA	CEU	ENDERECO	NUMERO	BAIRRO	CEP	TEL1	TEL2	SITUACAO	DISTRITO	LATITUDE	LONGITUDE	CIDADE	ESTADO	DDD	EMAIL	COMPLEMENTO
0	ALICE BERNARDO CORREA CRECHE MUNICIPAL	BOTUCATU	MUNICIPAL		AVENIDA DAVID SEGATTI	65	SAO ROQUE	18500000	32835245	NULL		LARANJAL PAULISTA			LARANJAL PAULISTA	SP	15	CRECHEALICE10@GMAIL.COM	PRACA
0	MARIA APARECIDA DE CASTRO CAMPOS CRECHE MUNICIPAL	BOTUCATU	MUNICIPAL		RUA DAS TULIPAS	605	JARDIM 10 DE OUTUBRO	18500000	32835026	NULL		LARANJAL PAULISTA			LARANJAL PAULISTA	SP	15	CRECHEMORRAO@GMAIL.COM	PRACA
0	CEI EMEI PROFA APARECIDA MARIA PIRES DE MENESES	CARAGUATATUBA	MUNICIPAL		IPIRANGA 	17	JARDIM OLARIA	11663380	38838988	NULL		CARAGUATATUBA			CARAGUATATUBA	SP	12	CEIOLARIA@YAHOO.COM.BR	TRAVESSA
0	JOSE LA TORRE PROFESSOR EMEI	SUL 3	MUNICIPAL		ANTONIO MARCONDES BOETA 	30	JARDIM ALADIM	4883210	59208156	59260850		PARELHEIROS			SAO PAULO	SP	11	EMEIJLTORRE@PREFEITURA.SP.GOV.BR	RUA
0	ACHILLES CONEGO CRECHE MUNICIPAL	TAQUARITINGA	MUNICIPAL		CANTIDIO FABRICIANO RIBEIRO	60	CENTRO	15820000	33861840	NULL		PIRANGI			PIRANGI	SP	17	CASADACRIANCA@PIRANGI.SP.GOV.BR	RUA
36	ASSENTADOS DA FAZENDA SANTA CLARA EM R	MIRANTE DO PARANAPANEMA	MUNICIPAL		ASSENTAMENTO CHE GUEVARA	SN	FAZENDA SANTA CLARA	19260000	39911188	NULL		MIRANTE DO PARANAPANEMA			MIRANTE DO PARANAPANEMA	SP	18	PLANEJAMENTOESCOLAR@HOTMAIL.COM	RUA
0	MARIA DE LOURDES TEIXEIRA DE SOUZA CRECHE MUNICIPAL	APIAI	MUNICIPAL		BAIRRO PEREIRAS	SN	PEREIRAS	18430000	35514169	NULL		RIBEIRAO BRANCO			RIBEIRAO BRANCO	SP	15	CRECHERB@HOTMAIL.COM	RUA
0	RAIO DE LUZ CRECHE MUNICIPAL	APIAI	MUNICIPAL		RUA RIBEIRAO BRANCO	SN	CAMPINA DE FORA	18430000	35510315	NULL		RIBEIRAO BRANCO			RIBEIRAO BRANCO	SP	15	RAIOLUZRAIODELUZ@HOTMAIL.COM	RUA
0	RAIO DE SOL CRECHE MUNICIPAL	APIAI	MUNICIPAL		TRAVESSA DA RUA MIRASSOL	SN	ITABOA	18430000	35510318	NULL		RIBEIRAO BRANCO			RIBEIRAO BRANCO	SP	15	CRECHERSL@HOTMAIL.COM	RUA
0	THEREZINHA DE JESUS CAMPOS CRISTINO PROFA CEI	ITU	MUNICIPAL		RUA EDSON SARTORELLI	200	JARDIM VITORINO	18560000	32661423	NULL		IPERO			IPERO	SP	15	CEI.THEREZINHA@HOTMAIL.COM	AVENIDA
0	ALMIRANTE SCHIECK CENTRO EDUCACAO INFANTIL	ITU	MUNICIPAL		AVENIDA CECY	41	GEORGE OETTERER	18560000	32669038	NULL		IPERO			IPERO	SP	15	CEIALMIRANTE@HOTMAIL.COM	AVENIDA
0	MARIA SILVIA FLORENZANO PROFESSORA EMEIEF	VOTORANTIM	MUNICIPAL		RUA ANTONIO LOPES DOS SANTOS	30	BOSQUE DOS EUCALIPTOS	18190000	32812900	NULL		ARACOIABA DA SERRA			ARACOIABA DA SERRA	SP	15	EMEIEFPMSF@GMAIL.COM	ESTRADA
0	LUCIRIO VALLI EMEB	JUNDIAI	MUNICIPAL		RUA HENRIQUE ROCHA BLOCK	92	VILA MARINGA	13210090	45271488	NULL		JUNDIAI			JUNDIAI	SP	11	EVALLI@JUNDIAI.SP.GOV.BR	RUA
0	MARIO COVAS JUNIOR GOVERNADOR EMEIF	SANTOS	MUNICIPAL		AVENIDA SAO LOURENCO	2160	RIVIERA DE SAO LOURENCO	11250000	33166920	NULL		BERTIOGA			BERTIOGA	SP	13	SEC.MARIOCOVAS@GMAIL.COM	RUA
0	LEONOR MENDES DE BARROS CEI EMEI	CARAGUATATUBA	MUNICIPAL		RUA JOAO CARLOS BALIO	240	TRAVESSAO	11669301	38876108	NULL		CARAGUATATUBA			CARAGUATATUBA	SP	12	CEI.LEONORBARROS@CARAGUATATUBA.SP.GOV.BR	RUA
0	MARIA CARLITA S GUEDES CEI EMEI	CARAGUATATUBA	MUNICIPAL		TRAVESSA CINCO	75	MORRO DO ALGODAO	11671206	38883223	NULL		CARAGUATATUBA			CARAGUATATUBA	SP	12	CEIGUEDES8@GMAIL.COM	TRAVESSA
0	VILA ATLANTICA CRECHE MUNICIPAL	SAO VICENTE	MUNICIPAL		AVENIDA PRESIDENTE COSTA E SILVA	560	VILA ATLANTICA	11730000	35073100	NULL		MONGAGUA			MONGAGUA	SP	13	VILAATLANTICACRECHE@MONGAGUA.SP.GOV.BR	AVENIDA
0	OCEANOPOLIS CRECHE MUNICIPAL	SAO VICENTE	MUNICIPAL		AVENIDA EUNICE OLIVEIRA BESSA	45	VILA OCEANOPOLIS	11730000	35073206	NULL		MONGAGUA			MONGAGUA	SP	13	OCEANOPOLISCRECHE@MONGAGUA.SP.GOV.BR	AVENIDA
0	JARDIM RIO DA GRANJA EMEIF	SANTOS	MUNICIPAL		RUA PASTOR DJALMA DA SILVA COIMBRA	SN	JARDIM RIO DA GRANJA	11250000	33177348	NULL		BERTIOGA			BERTIOGA	SP	13	DIR.RIODAGRANJA@GMAIL.COM	RUA
